timestamp,occupancy,hvac_kw,lighting_kw,plug_kw,total_kw,outdoor_temp_c,indoor_temp_c
2026-01-05 00:00:00,0.009,10.966,0.245,0.727,11.939,3.93,22.0
2026-01-05 00:05:00,0.0,10.691,0.309,0.229,11.229,3.86,21.63
2026-01-05 00:10:00,0.023,11.756,0.453,0.512,12.721,2.73,21.4
2026-01-05 00:15:00,0.029,10.938,0.294,0.462,11.694,3.37,21.31
2026-01-05 00:20:00,0.0,10.433,0.298,0.222,10.953,4.93,21.12
2026-01-05 00:25:00,0.0,11.762,0.296,0.209,12.267,3.09,20.96
2026-01-05 00:30:00,0.004,12.215,0.18,0.347,12.741,2.48,20.83
2026-01-05 00:35:00,0.0,11.715,0.317,0.372,12.404,2.83,20.65
2026-01-05 00:40:00,0.0,10.999,0.303,0.557,11.859,2.98,20.41
2026-01-05 00:45:00,0.0,11.626,0.356,0.709,12.691,2.72,20.15
2026-01-05 00:50:00,0.027,12.268,0.249,0.652,13.169,2.76,19.98
2026-01-05 00:55:00,0.024,12.069,0.361,0.694,13.124,1.57,19.85
2026-01-05 01:00:00,0.003,12.051,0.445,0.452,12.948,1.9,19.67
2026-01-05 01:05:00,0.035,12.23,0.595,0.683,13.508,2.5,19.54
2026-01-05 01:10:00,0.015,11.971,0.466,0.498,12.934,2.43,19.47
2026-01-05 01:15:00,0.0,12.706,0.182,0.412,13.3,2.06,19.32
2026-01-05 01:20:00,0.012,11.621,0.376,0.902,12.899,2.33,19.07
2026-01-05 01:25:00,0.0,11.42,0.252,0.2,11.871,2.47,18.89
2026-01-05 01:30:00,0.028,11.796,0.398,0.2,12.394,3.09,18.79
2026-01-05 01:35:00,0.0,11.486,0.223,0.577,12.286,2.26,18.6
2026-01-05 01:40:00,0.0,11.568,0.129,0.447,12.144,2.62,18.51
2026-01-05 01:45:00,0.0,12.081,0.266,0.213,12.559,1.83,18.32
2026-01-05 01:50:00,0.039,12.014,0.47,0.359,12.843,2.69,18.17
2026-01-05 01:55:00,0.0,11.884,0.329,0.315,12.528,2.5,17.99
2026-01-05 02:00:00,0.0,11.619,0.34,0.678,12.638,2.86,17.85
2026-01-05 02:05:00,0.0,11.451,0.322,0.742,12.515,2.71,17.71
2026-01-05 02:10:00,0.019,12.068,0.388,0.862,13.319,2.59,17.47
2026-01-05 02:15:00,0.015,13.241,0.389,0.208,13.838,2.02,17.29
2026-01-05 02:20:00,0.016,12.093,0.313,0.256,12.662,2.27,17.08
2026-01-05 02:25:00,0.017,11.536,0.351,0.244,12.131,2.91,16.93
2026-01-05 02:30:00,0.069,12.104,0.646,0.882,13.633,1.52,16.73
2026-01-05 02:35:00,0.0,12.093,0.314,0.583,12.99,1.53,16.63
2026-01-05 02:40:00,0.0,11.837,0.304,0.516,12.658,2.16,16.54
2026-01-05 02:45:00,0.0,11.634,0.31,0.546,12.49,2.34,16.43
2026-01-05 02:50:00,0.025,12.463,0.34,0.533,13.337,1.35,16.22
2026-01-05 02:55:00,0.041,12.691,0.359,0.349,13.399,1.94,16.08
2026-01-05 03:00:00,0.004,12.432,0.331,0.61,13.373,1.92,15.88
2026-01-05 03:05:00,0.0,13.015,0.249,0.463,13.727,0.23,15.71
2026-01-05 03:10:00,0.0,11.74,0.285,0.26,12.285,1.83,15.61
2026-01-05 03:15:00,0.029,12.558,0.294,0.667,13.519,1.88,15.54
2026-01-05 03:20:00,0.033,12.149,0.393,0.474,13.015,1.89,15.44
2026-01-05 03:25:00,0.028,10.867,0.427,0.595,11.89,3.16,15.4
2026-01-05 03:30:00,0.0,12.772,0.279,0.475,13.525,1.07,15.28
2026-01-05 03:35:00,0.02,12.729,0.15,0.715,13.593,1.4,15.14
2026-01-05 03:40:00,0.018,12.534,0.403,0.576,13.513,-0.01,15.03
2026-01-05 03:45:00,0.022,11.992,0.367,0.363,12.721,1.71,14.96
2026-01-05 03:50:00,0.043,12.214,0.307,0.641,13.162,1.8,14.82
2026-01-05 03:55:00,0.025,12.453,0.439,0.615,13.506,1.74,14.73
2026-01-05 04:00:00,0.04,11.33,0.259,0.673,12.262,3.06,14.63
2026-01-05 04:05:00,0.023,11.285,0.461,0.748,12.494,2.89,14.44
2026-01-05 04:10:00,0.031,12.134,0.371,0.432,12.938,2.29,14.37
2026-01-05 04:15:00,0.043,12.006,0.18,0.711,12.897,1.97,14.21
2026-01-05 04:20:00,0.0,11.489,0.318,0.2,12.007,3.12,14.16
2026-01-05 04:25:00,0.018,11.525,0.304,0.508,12.337,2.32,13.99
2026-01-05 04:30:00,0.015,11.804,0.282,0.473,12.559,1.73,13.86
2026-01-05 04:35:00,0.012,12.833,0.257,0.812,13.902,1.05,13.73
2026-01-05 04:40:00,0.025,12.083,0.351,0.514,12.948,2.12,13.71
2026-01-05 04:45:00,0.081,11.848,0.454,0.767,13.069,3.12,13.62
2026-01-05 04:50:00,0.013,10.446,0.146,0.2,10.792,4.39,13.53
2026-01-05 04:55:00,0.07,11.573,0.603,0.556,12.731,2.67,13.48
2026-01-05 05:00:00,0.0,12.374,0.276,0.331,12.98,2.06,13.4
2026-01-05 05:05:00,0.037,11.787,0.319,1.061,13.167,1.78,13.35
2026-01-05 05:10:00,0.055,11.805,0.324,0.465,12.595,3.22,13.25
2026-01-05 05:15:00,0.071,12.95,0.554,0.642,14.146,1.43,13.17
2026-01-05 05:20:00,0.078,11.685,0.365,0.666,12.716,3.34,13.25
2026-01-05 05:25:00,0.084,11.073,0.524,0.334,11.93,3.62,13.2
2026-01-05 05:30:00,0.054,11.087,0.376,0.491,11.954,3.38,13.16
2026-01-05 05:35:00,0.054,11.545,0.383,0.679,12.607,2.92,13.02
2026-01-05 05:40:00,0.098,10.933,0.435,0.694,12.061,3.62,12.94
2026-01-05 05:45:00,0.071,11.098,0.416,0.2,11.714,3.38,12.92
2026-01-05 05:50:00,0.043,11.908,0.409,0.464,12.781,2.69,12.85
2026-01-05 05:55:00,0.052,10.631,0.454,0.798,11.883,4.87,12.87
2026-01-05 06:00:00,0.064,11.167,0.381,0.733,12.28,3.18,12.85
2026-01-05 06:05:00,0.112,11.24,0.567,0.945,12.751,4.16,12.76
2026-01-05 06:10:00,0.107,12.644,0.649,0.495,13.788,1.69,12.74
2026-01-05 06:15:00,0.129,11.205,0.445,0.988,12.638,4.72,12.67
2026-01-05 06:20:00,0.101,10.698,0.542,0.674,11.913,4.96,12.62
2026-01-05 06:25:00,0.125,11.557,0.501,1.044,13.102,3.89,12.61
2026-01-05 06:30:00,0.146,11.139,0.536,0.763,12.437,4.4,12.68
2026-01-05 06:35:00,0.125,11.174,0.614,0.315,12.103,4.49,12.61
2026-01-05 06:40:00,0.155,11.107,0.599,0.948,12.655,3.62,12.59
2026-01-05 06:45:00,0.129,10.753,0.468,0.643,11.865,4.66,12.59
2026-01-05 06:50:00,0.145,11.424,0.756,0.686,12.867,3.67,12.59
2026-01-05 06:55:00,0.153,11.233,0.728,0.484,12.446,3.92,12.63
2026-01-05 07:00:00,0.137,10.502,0.404,1.07,11.976,5.4,12.61
2026-01-05 07:05:00,0.196,10.752,0.573,0.748,12.073,5.37,12.67
2026-01-05 07:10:00,0.176,11.369,0.733,1.131,13.233,4.13,12.72
2026-01-05 07:15:00,0.199,11.224,0.69,0.773,12.687,4.2,12.78
2026-01-05 07:20:00,0.223,11.026,0.912,0.716,12.653,4.37,12.79
2026-01-05 07:25:00,0.232,10.881,0.836,1.181,12.897,5.57,12.8
2026-01-05 07:30:00,0.248,11.478,0.832,0.932,13.242,4.29,12.76
2026-01-05 07:35:00,0.236,10.318,0.668,0.912,11.898,5.47,12.69
2026-01-05 07:40:00,0.237,10.319,0.816,0.67,11.805,5.89,12.69
2026-01-05 07:45:00,0.258,10.257,0.675,0.873,11.805,5.32,12.7
2026-01-05 07:50:00,0.221,10.091,0.855,0.983,11.93,6.3,12.72
2026-01-05 07:55:00,0.24,10.645,0.797,0.672,12.114,5.36,12.75
2026-01-05 08:00:00,0.255,10.473,0.696,0.852,12.021,5.53,12.68
2026-01-05 08:05:00,0.277,11.489,0.894,0.915,13.298,5.03,12.67
2026-01-05 08:10:00,0.332,9.809,1.13,1.11,12.05,6.73,12.8
2026-01-05 08:15:00,0.305,11.081,0.829,1.345,13.255,5.41,12.85
2026-01-05 08:20:00,0.334,11.011,0.95,1.041,13.002,6.41,12.91
2026-01-05 08:25:00,0.398,11.006,0.957,1.077,13.041,6.18,12.94
2026-01-05 08:30:00,0.361,10.971,0.937,1.7,13.608,5.51,12.92
2026-01-05 08:35:00,0.408,10.502,0.85,1.148,12.5,5.97,12.85
